时间戳,时间,分组ID,分组标签,无符号1_值,无符号1_十六进制,无符号2_值,无符号2_十六进制,无符号4_值,无符号4_十六进制,有符号1_值,有符号1_十六进制,有符号2_值,有符号2_十六进制,有符号4_值,有符号4_十六进制,浮点4_值,浮点4_十六进制,6字节_值,6字节_十六进制
1749193228681,"2025-06-06 15:00:28",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193229681,"2025-06-06 15:00:29",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193781554,"2025-06-06 15:09:41",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193841550,"2025-06-06 15:10:41",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193901546,"2025-06-06 15:11:41",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193961545,"2025-06-06 15:12:41",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193970972,"2025-06-06 15:12:50",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193971691,"2025-06-06 15:12:51",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193972684,"2025-06-06 15:12:52",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193973693,"2025-06-06 15:12:53",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193974680,"2025-06-06 15:12:54",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193975684,"2025-06-06 15:12:55",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193976695,"2025-06-06 15:12:56",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193977693,"2025-06-06 15:12:57",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193978685,"2025-06-06 15:12:58",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193979687,"2025-06-06 15:12:59",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193980684,"2025-06-06 15:13:00",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193981684,"2025-06-06 15:13:01",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193982681,"2025-06-06 15:13:02",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193983684,"2025-06-06 15:13:03",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193984681,"2025-06-06 15:13:04",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193985683,"2025-06-06 15:13:05",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193986686,"2025-06-06 15:13:06",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193987684,"2025-06-06 15:13:07",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193988684,"2025-06-06 15:13:08",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193989691,"2025-06-06 15:13:09",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193990687,"2025-06-06 15:13:10",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193991683,"2025-06-06 15:13:11",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193992696,"2025-06-06 15:13:12",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193993684,"2025-06-06 15:13:13",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193994684,"2025-06-06 15:13:14",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193995681,"2025-06-06 15:13:15",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193996692,"2025-06-06 15:13:16",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193997681,"2025-06-06 15:13:17",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193998683,"2025-06-06 15:13:18",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749193999684,"2025-06-06 15:13:19",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194000693,"2025-06-06 15:13:20",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194001695,"2025-06-06 15:13:21",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194002684,"2025-06-06 15:13:22",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194003689,"2025-06-06 15:13:23",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194004687,"2025-06-06 15:13:24",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194005689,"2025-06-06 15:13:25",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194006688,"2025-06-06 15:13:26",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194007690,"2025-06-06 15:13:27",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194008682,"2025-06-06 15:13:28",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194009685,"2025-06-06 15:13:29",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194010692,"2025-06-06 15:13:30",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194011688,"2025-06-06 15:13:31",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194012685,"2025-06-06 15:13:32",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194013686,"2025-06-06 15:13:33",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194014683,"2025-06-06 15:13:34",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194015690,"2025-06-06 15:13:35",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194016684,"2025-06-06 15:13:36",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194017686,"2025-06-06 15:13:37",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194018681,"2025-06-06 15:13:38",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194019684,"2025-06-06 15:13:39",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194020719,"2025-06-06 15:13:40",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194021944,"2025-06-06 15:13:41",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194022685,"2025-06-06 15:13:42",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194023685,"2025-06-06 15:13:43",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194024686,"2025-06-06 15:13:44",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194025685,"2025-06-06 15:13:45",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194026693,"2025-06-06 15:13:46",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194028551,"2025-06-06 15:13:48",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194029557,"2025-06-06 15:13:49",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194030545,"2025-06-06 15:13:50",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194031552,"2025-06-06 15:13:51",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194032548,"2025-06-06 15:13:52",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194033548,"2025-06-06 15:13:53",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194034548,"2025-06-06 15:13:54",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194034980,"2025-06-06 15:13:54",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194035693,"2025-06-06 15:13:55",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194037557,"2025-06-06 15:13:57",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194038545,"2025-06-06 15:13:58",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194039552,"2025-06-06 15:13:59",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194039870,"2025-06-06 15:13:59",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194040681,"2025-06-06 15:14:00",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194041683,"2025-06-06 15:14:01",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194042685,"2025-06-06 15:14:02",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194043696,"2025-06-06 15:14:03",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194044688,"2025-06-06 15:14:04",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194045689,"2025-06-06 15:14:05",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194046685,"2025-06-06 15:14:06",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194047698,"2025-06-06 15:14:07",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194048706,"2025-06-06 15:14:08",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194049681,"2025-06-06 15:14:09",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194050692,"2025-06-06 15:14:10",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194051693,"2025-06-06 15:14:11",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194053544,"2025-06-06 15:14:13",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194054557,"2025-06-06 15:14:14",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194055556,"2025-06-06 15:14:15",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194056550,"2025-06-06 15:14:16",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194057548,"2025-06-06 15:14:17",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194058544,"2025-06-06 15:14:18",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194059556,"2025-06-06 15:14:19",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194060545,"2025-06-06 15:14:20",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194061547,"2025-06-06 15:14:21",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194062547,"2025-06-06 15:14:22",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194062925,"2025-06-06 15:14:22",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194063682,"2025-06-06 15:14:23",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194064717,"2025-06-06 15:14:24",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194065689,"2025-06-06 15:14:25",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194066685,"2025-06-06 15:14:26",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194067709,"2025-06-06 15:14:27",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194068684,"2025-06-06 15:14:28",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194069684,"2025-06-06 15:14:29",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
1749194071544,"2025-06-06 15:14:31",1,"1","170","AA","65535","FFFF","4294967295","FFFFFFFF","-1","FF","-1","FFFF","-1","FFFFFFFF","0.00","28","11 11 11 11 11 11","NAN"
